feature,importance
total_purchases,2.3284774
purchase_rate,2.2542632
product_purchase_rate,0.19688113
product_purchases,0.13778396
min_price,0.12534934
category_views,0.11674802
category_users,0.09691448
price_ratio,0.07726001
session_duration_days,0.06999073
category_price,0.059536308
is_expensive,0.0575473
category_purchases,0.036522426
max_price,0.035085753
avg_price,0.033404987
unique_categories,0.030184954
product_price,0.028602103
category_purchase_rate,0.020068258
total_events,0.015529246
price,0.012462987
unique_users,0.010245532
price_std,0.007990098
product_views,0.0069229966
unique_products,0.0066966964
price_category_encoded,0.00010851089
